iter	RMSE
0	4464.188532
1	4348.69154
2	4224.313449
3	4112.529973
4	4007.980735
5	3889.540185
6	3779.164281
7	3700.05792
8	3618.980384
9	3542.975558
10	3475.351752
11	3411.790326
12	3348.630156
13	3284.176438
14	3223.734301
15	3158.642619
16	3112.088879
17	3058.149732
18	3018.234284
19	2975.220231
20	2927.348093
21	2889.716039
22	2857.274749
23	2819.921716
24	2784.1341
25	2752.608245
26	2726.663055
27	2698.834807
28	2684.331709
29	2650.749366
30	2632.342151
31	2608.949882
32	2586.090424
33	2570.414589
34	2556.960531
35	2532.96561
36	2512.249801
37	2500.077504
38	2479.873681
39	2469.937733
40	2459.614061
41	2442.053198
42	2428.440137
43	2412.858536
44	2405.097172
45	2396.962121
46	2384.316826
47	2372.113487
48	2364.489504
49	2354.806938
50	2344.294085
51	2340.099518
52	2335.68551
53	2329.392028
54	2325.392542
55	2320.200615
56	2309.908374
57	2299.613669
58	2290.267917
59	2285.813766
60	2280.988978
61	2276.252203
62	2270.710185
63	2261.917872
64	2252.571447
65	2247.084222
66	2240.115958
67	2235.083615
68	2231.849787
69	2229.343362
70	2225.849394
71	2222.534119
72	2215.777159
73	2208.436742
74	2205.404233
75	2202.756613
76	2198.75801
77	2194.518973
78	2190.587689
79	2188.174563
80	2183.836708
81	2182.32488
82	2175.87663
83	2170.132576
84	2165.404471
85	2162.221947
86	2160.148517
87	2157.820983
88	2154.126727
89	2150.205292
90	2145.316081
91	2141.714837
92	2135.965527
93	2133.781407
94	2129.553034
95	2125.031818
96	2123.321649
97	2120.363173
98	2115.658161
99	2111.450055
100	2109.403232
101	2105.400312
102	2102.566673
103	2099.877416
104	2097.600397
105	2095.534947
106	2092.29852
107	2087.946798
108	2085.765558
109	2081.453901
110	2078.976816
111	2073.375709
112	2071.450062
113	2069.870707
114	2068.102609
115	2065.825074
116	2063.585178
117	2061.722149
118	2058.428537
119	2057.030788
120	2055.00035
121	2052.499378
122	2049.829156
123	2046.137885
124	2045.078484
125	2043.540669
126	2039.98321
127	2038.854611
128	2037.110226
129	2035.019212
130	2032.544037
131	2029.53987
132	2026.115143
133	2023.696731
134	2022.29461
135	2020.080732
136	2017.982012
137	2016.334808
138	2015.295976
139	2013.309735
140	2010.57308
141	2009.280859
142	2007.870402
143	2006.170168
144	2004.542018
145	2003.630405
146	2000.68869
147	1998.369096
148	1996.338719
149	1995.291434
150	1993.810568
151	1992.150124
152	1989.9818
153	1988.84998
154	1986.114384
155	1985.534695
156	1983.653749
157	1982.368914
158	1979.519087
159	1979.283321
160	1977.980195
161	1976.834409
162	1976.413341
163	1974.018063
164	1973.102757
