iter	Passed	Remaining
0	196	196252
1	201	100608
2	209	69597
3	215	53653
4	221	44173
5	225	37375
6	229	32502
7	232	28845
8	236	26095
9	240	23821
10	244	21953
11	247	20390
12	251	19105
13	255	17966
14	258	16977
15	262	16119
16	265	15358
17	269	14709
18	273	14102
19	276	13552
20	279	13053
21	284	12657
22	288	12243
23	291	11867
24	295	11515
25	299	11234
26	303	10932
27	306	10652
28	310	10387
29	314	10175
30	318	9944
31	321	9728
32	325	9526
33	329	9369
34	333	9188
35	336	9019
36	340	8856
37	344	8728
38	348	8584
39	351	8445
40	355	8311
41	361	8243
42	366	8146
43	369	8033
44	373	7921
45	377	7830
46	381	7726
47	384	7628
48	388	7539
49	394	7486
50	397	7395
51	400	7308
52	404	7223
53	409	7176
54	413	7096
55	416	7018
56	419	6946
57	423	6883
58	427	6815
59	430	6747
60	434	6685
61	438	6640
62	442	6579
63	445	6521
64	449	6465
65	454	6426
66	457	6370
67	460	6316
68	464	6263
69	468	6227
70	472	6179
71	475	6130
72	479	6083
73	483	6050
74	486	6005
75	490	5960
76	493	5916
77	497	5883
78	501	5843
79	504	5802
80	508	5763
81	511	5722
82	515	5694
83	518	5658
84	522	5621
85	525	5585
86	530	5564
87	533	5529
88	537	5497
89	540	5464
90	545	5444
91	548	5413
92	552	5384
93	555	5353
94	560	5337
95	563	5310
96	567	5282
97	570	5255
98	576	5249
99	580	5223
100	583	5196
101	587	5169
102	593	5172
103	597	5148
104	601	5123
105	604	5098
106	609	5085
107	612	5061
108	616	5036
109	619	5015
110	623	4996
111	627	4974
112	630	4951
113	634	4929
114	638	4913
115	641	4892
116	645	4871
117	648	4849
118	653	4838
119	656	4817
120	660	4796
121	663	4776
122	668	4767
123	672	4748
124	675	4727
125	678	4707
126	683	4695
127	686	4676
128	689	4658
129	693	4640
130	697	4628
131	701	4611
132	704	4593
133	708	4576
134	711	4560
135	716	4549
136	719	4533
137	723	4516
138	726	4499
139	730	4489
140	734	4473
141	737	4457
142	741	4441
143	747	4445
144	751	4429
145	754	4412
146	757	4397
147	761	4385
148	765	4370
149	768	4355
150	771	4340
151	776	4334
152	780	4319
153	783	4304
154	787	4290
155	792	4290
156	796	4278
157	800	4264
158	803	4250
159	808	4243
160	811	4230
161	815	4216
162	818	4202
163	822	4194
164	826	4181
165	829	4168
166	832	4154
167	837	4147
168	840	4135
169	844	4122
170	847	4109
171	852	4103
172	855	4091
173	859	4078
174	862	4065
175	867	4061
176	871	4053
177	878	4056
178	888	4075
179	894	4075
180	901	4078
181	904	4066
182	908	4054
183	911	4043
184	916	4039
185	920	4028
186	924	4017
187	928	4012
188	934	4007
189	937	3997
190	940	3985
191	945	3978
192	948	3967
193	952	3955
194	955	3945
195	959	3934
196	962	3923
197	966	3913
198	969	3901
199	972	3891
200	977	3883
201	980	3873
202	983	3862
203	987	3852
204	993	3851
205	996	3840
206	999	3829
207	1003	3822
208	1007	3812
209	1010	3802
210	1013	3791
211	1017	3781
212	1022	3776
213	1025	3766
214	1028	3755
215	1032	3746
216	1036	3739
217	1039	3729
218	1043	3720
219	1046	3710
220	1050	3701
221	1053	3692
222	1056	3682
223	1060	3673
224	1063	3663
225	1068	3658
226	1071	3650
227	1075	3640
228	1078	3630
229	1082	3624
230	1086	3615
231	1089	3606
232	1092	3596
233	1096	3589
234	1100	3581
235	1103	3572
236	1107	3564
237	1110	3555
238	1114	3550
239	1118	3541
240	1121	3533
241	1125	3524
242	1131	3523
243	1134	3516
244	1138	3507
245	1141	3499
246	1146	3495
247	1150	3487
248	1153	3478
249	1156	3469
250	1161	3465
251	1164	3456
252	1168	3448
253	1171	3440
254	1178	3442
255	1181	3434
256	1184	3425
257	1188	3417
258	1193	3415
259	1197	3406
260	1200	3399
261	1204	3392
262	1207	3384
263	1211	3376
264	1214	3369
265	1218	3361
266	1222	3355
267	1225	3347
268	1229	3339
269	1232	3332
270	1236	3327
271	1240	3319
272	1243	3311
273	1246	3303
274	1251	3298
275	1254	3291
276	1258	3283
277	1261	3276
278	1265	3271
279	1269	3265
280	1273	3258
281	1276	3250
282	1280	3243
283	1283	3236
284	1287	3229
285	1290	3222
286	1294	3214
287	1299	3211
288	1302	3204
289	1305	3197
290	1309	3189
291	1313	3185
292	1317	3178
293	1320	3171
294	1324	3164
295	1328	3159
296	1332	3153
297	1335	3145
298	1338	3138
299	1343	3135
300	1347	3128
301	1350	3121
302	1353	3113
303	1358	3109
304	1361	3102
305	1365	3095
306	1368	3088
307	1372	3083
308	1376	3078
309	1380	3072
310	1383	3065
311	1387	3060
312	1391	3054
313	1394	3047
314	1398	3041
315	1402	3035
316	1405	3029
317	1409	3022
318	1412	3015
319	1416	3009
320	1420	3004
321	1423	2998
322	1427	2991
323	1430	2984
324	1435	2980
325	1438	2974
326	1442	2968
327	1445	2961
328	1450	2957
329	1453	2951
330	1456	2944
331	1459	2937
332	1463	2931
333	1467	2925
334	1470	2919
335	1474	2913
336	1477	2907
337	1481	2902
338	1485	2896
339	1488	2890
340	1492	2883
341	1496	2879
342	1500	2873
343	1503	2867
344	1508	2863
345	1514	2861
346	1517	2855
347	1520	2849
348	1524	2842
349	1528	2838
350	1531	2832
351	1535	2825
352	1538	2820
353	1543	2816
354	1546	2810
355	1550	2804
356	1553	2797
357	1558	2794
358	1561	2788
359	1565	2782
360	1568	2776
361	1574	2775
362	1578	2769
363	1581	2763
364	1585	2758
365	1590	2755
366	1593	2748
367	1597	2743
368	1600	2737
369	1605	2733
370	1608	2727
371	1612	2722
372	1615	2716
373	1620	2711
374	1623	2706
375	1627	2700
376	1630	2694
377	1635	2691
378	1639	2685
379	1642	2680
380	1646	2674
381	1651	2671
382	1655	2666
383	1658	2660
384	1661	2654
385	1666	2651
386	1670	2645
387	1673	2639
388	1677	2634
389	1681	2630
390	1685	2625
391	1688	2619
392	1692	2613
393	1696	2609
394	1700	2604
395	1703	2598
396	1707	2593
397	1712	2589
398	1715	2584
399	1719	2579
400	1722	2573
401	1727	2569
402	1730	2564
403	1734	2558
404	1737	2552
405	1742	2549
406	1745	2543
407	1749	2538
408	1752	2532
409	1757	2528
410	1760	2523
411	1764	2517
412	1767	2512
413	1771	2507
414	1775	2503
415	1779	2497
416	1782	2492
417	1788	2490
418	1792	2485
419	1796	2480
420	1799	2474
421	1804	2471
422	1807	2465
423	1811	2460
424	1814	2454
425	1819	2451
426	1822	2445
427	1826	2440
428	1829	2434
429	1834	2431
430	1837	2425
431	1840	2420
432	1844	2415
433	1848	2410
434	1852	2405
435	1855	2400
436	1858	2394
437	1862	2390
438	1866	2385
439	1870	2380
440	1873	2374
441	1877	2369
442	1881	2365
443	1884	2360
444	1888	2354
445	1891	2349
446	1897	2347
447	1901	2342
448	1904	2337
449	1908	2332
450	1912	2327
451	1915	2322
452	1918	2317
453	1922	2312
454	1927	2308
455	1930	2303
456	1934	2298
457	1937	2292
458	1942	2289
459	1945	2283
460	1948	2278
461	1952	2273
462	1957	2270
463	1961	2265
464	1964	2260
465	1967	2254
466	1973	2251
467	1976	2246
468	1980	2241
469	1983	2236
470	1989	2234
